symbol,sector,tier,valid_from,valid_to,evidence
IRCTC,Consumer Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
IREDA,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
IRFC,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ITC,Fast Moving Consumer Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
JETAIRWAYS,Services,3,2016-02-11,9999-12-31,manual-register
JINDALSTEL,Metals & Mining,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
JIOFIN,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
JISLJALEQS,Chemicals,3,2016-02-11,9999-12-31,manual-register
JKCEMENT,Construction Materials,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
JPASSOCIAT,Construction,3,2016-02-11,9999-12-31,manual-register
JSL,Metals & Mining,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
JSWENERGY,Power,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
JSWSTEEL,Metals & Mining,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
JUBLFOOD,Consumer Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
JUSTDIAL,Consumer Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
KAJARIACER,Consumer Durables,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
KALYANKJIL,Consumer Durables,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
KAYNES,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
KEI,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
KFINTECH,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
KOTAKBANK,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
KPIT,Information Technology,2,2010-01-04,9999-12-31,inherit:BSOFT via BSOFT
KPITTECH,Information Technology,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
KSCL,Fast Moving Consumer Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
KTKBANK,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
L&TFH,Financial Services,2,2011-08-12,9999-12-31,inherit:L&TFH via LTF
LALPATHLAB,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
LAURUSLABS,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
LICHSGFIN,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
